code,name
010001,МВД ПО РЕСП. АДЫГЕЯ
010001,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В Г. МАЙКОПЕ
010002,МВД ПО РЕСП. АДЫГЕЯ
010002,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В МАЙКОПСКОМ РАЙОНЕ
010002,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ПОС. ТУЛЬСКИЙ
010002,ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ПОС. ТУЛЬСКИЙ
010003,МВД ПО РЕСП. АДЫГЕЯ
010003,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В АУЛЕ ТАХТАМУКАЙ
010003,ОТДЕЛЕНИЕМ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТАХТАМУКАЙСКОМ РАЙОНЕ
010003,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В АУЛЕ ТАХТАМУКАЙ
010004,МВД ПО РЕСП. АДЫГЕЯ
010004,МП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В КРАСНОГВАРДЕЙСКОМ РАЙОНЕ
010004,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В КРАСНОГВАРДЕЙСКОМ РАЙОНЕ
010005,МВД ПО РЕСП. АДЫГЕЯ
010005,ОВМ МЕЖМУНИЦИПАЛЬНОГО ОМВД РОССИЙСКОЙ ФЕДЕРАЦИИ АДЫГЕЙСКИЙ
010005,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В Г. АДЫГЕЙСКЕ И ТЕУЧЕЖСКОМ РАЙОНЕ
010005,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТЕУЧЕЖСКОМ РАЙОНЕ
010006,КОШЕХАБЛЬСКИМ МРО ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ
010006,МВД ПО РЕСП. АДЫГЕЯ
010006,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В КОШЕХАБЛЬСКОМ РАЙОНЕ
010007,МВД ПО РЕСП. АДЫГЕЯ
010007,МП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ГИАГИНСКОМ РАЙОНЕ
010007,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ГИАГИНСКОМ РАЙОНЕ
010008,МВД ПО РЕСП. АДЫГЕЯ
010008,ТП В ПГТ ЯБЛОНОВСКОМ ОТДЕЛЕНИЯ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТАХТАМУКАЙСКОМ РАЙОНЕ
010008,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ПГТ ЯБЛОНОВСКИЙ
010008,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ПГТ ЯБЛОНОВСКОМ
010008,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ТАХТАМУКАЙСКОМ РАЙОНЕ ПГТ ЯБЛОНОВСКИЙ
010009,МВД ПО РЕСП. АДЫГЕЯ
010009,ТП ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ В ШОВГЕНОВСКОМ РАЙОНЕ
010010,МВД ПО РЕСП. АДЫГЕЯ
010010,ОТДЕЛОМ ПО ВОПРОСАМ ВНЕШНЕЙ ТРУДОВОЙ МИГРАЦИИ ОФОРМЛЕНИЯ ВИЗ ПРИГЛАШЕНИЙ И РЕГИСТРАЦИИ ИНОСТРАННЫХ ГРАЖДАН ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ
010011,ОТДЕЛОМ ПАСПОРТНОЙ И РЕГИСТРАЦИОННОЙ РАБОТЫ ПО ВОПРОСАМ ГРАЖДАНСТВА БЕЖЕНЦЕВ И ВЫНУЖДЕННЫХ ПЕРЕСЕЛЕНЦЕВ ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ
010101,ОФМС РОССИИ ПО РЕСП. АДЫГЕЯ
011001,МВД РЕСП. АДЫГЕЯ
012001,УВД Г. МАЙКОПА РЕСП. АДЫГЕЯ
012002,МАЙКОПСКИМ РОВД РЕСП. АДЫГЕЯ
012002,ОВД МАЙКОПСКОГО РАЙОНА РЕСП. АДЫГЕЯ
012003,ОВД ТАХТАМУКАЙСКОГО РАЙОНА РЕСП. АДЫГЕЯ
012003,ТАХТАМУКАЙСКИМ РОВД РЕСП. АДЫГЕЯ
012004,КРАСНОГВАРДЕЙСКИМ РОВД МВД РЕСП. АДЫГЕЯ
012004,КРАСНОГВАРДЕЙСКИМ РОВД РЕСП. АДЫГЕЯ
012005,ТЕУЧЕЖСКИМ ГРОВД РЕСП. АДЫГЕЯ
012006,КОШЕХАБЛЬСКИМ РОВД РЕСП. АДЫГЕЯ
012007,ГИАГИНСКИМ РОВД РЕСП. АДЫГЕЯ
012008,ШОВГЕНОВСКИМ РОВД РЕСП. АДЫГЕЯ
013001,ЯБЛОНОВСКИМ ПОСЕЛКОВЫМ ОМ ОВД ТАХТАМУКАЙСКОГО РАЙОНА РЕСП. АДЫГЕЯ
013001,ЯБЛОНОВСКИМ ПОСЕЛКОВЫМ ОМ ТАХТАМУКАЙСКОГО РОВД РЕСП. АДЫГЕЯ
020001,МВД ПО РЕСП. БАШКОРТОСТАН
020001,УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН
020002,МВД ПО РЕСП. БАШКОРТОСТАН
020002,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В ДЕМСКОМ РАЙОНЕ Г. УФЫ
020003,МВД ПО РЕСП. БАШКОРТОСТАН
020003,ОТДЕЛОМ УФМС РОССИИ ПО РЕСП. БАШКОРТОСТАН В КАЛИНИНСКОМ РАЙОНЕ Г. УФЫ
